,link_id,x_vector,y_vector
0,0,"[1.0, 1.8974462563580206, 2.470452803074534, 2.810411363153545, 3.0603789527125604, 3.471255648890683, 3.5992634799682692, 3.8251927908844565, 3.9213152580841, 4.152446441471266, 4.028514274079508, 4.150631750498663, 4.342735450778568, 4.334553247140821, 4.566526325854417, 4.616871825461395, 4.730253728788588, 4.8401981941445875, 4.767723275409475, 4.810536830706573, 4.857277824622711, 4.973262193087926, 4.933951417723247, 4.9881619039645795, 5.131559081302333]","[8.56, 9.333333333333332, 9.703999999999997, 9.814285714285715, 9.740000000000002, 10.401818181818184, 10.556923076923077, 10.881333333333332, 10.802352941176471, 10.961052631578944, 10.640952380952381, 10.94434782608696, 11.308799999999998, 11.126666666666667, 11.408275862068965, 11.675483870967744, 11.76727272727273, 11.737142857142858, 11.611891891891894, 11.553846153846155, 11.531707317073169, 12.027441860465121, 11.734222222222222, 11.504255319148937, 11.96326530612245]"
1,1,"[1.0, 2.108926024996526, 2.8507750094281774, 3.379107740030394, 3.716479723141248, 4.091321004672602, 4.299629978702605, 4.717149333434031, 4.614219850875005, 4.939982091483217, 4.999255840057815, 5.296872266837543, 5.447866481055991, 5.651046031568085, 5.456215381178128, 5.876650810593263, 5.84050684222063, 6.020054181798721, 6.265519551573458, 6.158331379607531, 6.50477080105197, 6.327151550833475, 6.360055261464463, 6.445088645737765, 6.436066454507144]","[11.9, 12.413333333333332, 12.564, 13.14, 13.213333333333335, 13.345454545454546, 13.723076923076926, 14.136000000000001, 13.715294117647055, 13.687368421052629, 13.843809523809526, 14.54608695652174, 14.413599999999997, 14.817037037037034, 14.208275862068968, 15.039999999999997, 14.867878787878785, 15.088571428571427, 15.398918918918914, 15.251794871794871, 15.93609756097561, 15.606046511627907, 15.375555555555554, 15.552765957446814, 15.665714285714284]"
2,2,"[1.0, 2.0106700583782287, 2.346977153883813, 2.6802101854686997, 2.7859448276612597, 2.9583725408820287, 2.9791534498846466, 3.090036455188514, 3.139748963230412, 3.136401427042098, 3.270531354850439, 3.2014257755977313, 3.3133989700939033, 3.336083509943436, 3.2353026020346674, 3.294509621095924, 3.320492102476446, 3.3247935531240915, 3.3511057665227337, 3.326717715697314, 3.3253095280162546, 3.407583013060882, 3.3807684415209214, 3.419156875045337, 3.4041391870094913]","[11.18, 11.193333333333337, 11.168, 11.240000000000002, 11.371111111111112, 11.52, 11.4, 11.456, 11.563529411764707, 11.346315789473683, 11.581904761904763, 11.416521739130438, 11.520800000000001, 11.591851851851851, 11.420689655172417, 11.368387096774198, 11.50060606060606, 11.582285714285716, 11.566486486486482, 11.370256410256406, 11.393658536585367, 11.574883720930234, 11.501333333333335, 11.51276595744681, 11.489795918367344]"
3,3,"[1.0, 1.2666604441310325, 1.359675044168079, 1.3812154638551402, 1.4142070490922978, 1.4010633954159502, 1.4217884299026489, 1.4202584544742465, 1.44077734258872, 1.4582226284641968, 1.448426527895931, 1.4289813610162736, 1.4510909675649606, 1.4522601136564446, 1.4494875929014532, 1.4513233777333527, 1.4420011092618588, 1.4400000030040352, 1.4510568274952473, 1.4531633133560786, 1.4548352658305745, 1.4450143435332998, 1.4630068998486945, 1.4617928356886762, 1.4583342789947522]","[3.84, 4.166666666666667, 4.195999999999999, 4.268571428571429, 4.331111111111111, 4.052727272727272, 4.266153846153845, 4.208000000000001, 4.324705882352941, 4.266315789473685, 4.255238095238096, 4.121739130434783, 4.2463999999999995, 4.255555555555554, 4.241379310344828, 4.2470967741935475, 4.206666666666667, 4.1725714285714295, 4.197297297297297, 4.2328205128205125, 4.308292682926829, 4.206046511627907, 4.2826666666666675, 4.263829787234044, 4.261224489795918]"
4,4,"[1.0, 1.8579906256775487, 2.3644510981708353, 2.731882141837117, 2.7245035155040553, 3.0081334366990724, 2.9706568185277313, 3.2144015260342234, 3.128713409678966, 3.202900025146485, 3.168619492159718, 3.216436017687919, 3.2374665643141505, 3.2023190780567323, 3.257266075903317, 3.290451736288164, 3.2213271406670594, 3.3457767921921993, 3.360889854858874, 3.3584081918295845, 3.36318388801866, 3.362603811272587, 3.3920464091500473, 3.406579399753409, 3.375159746778965]","[10.82, 11.193333333333337, 11.687999999999997, 11.405714285714284, 11.331111111111108, 11.405454545454544, 11.239999999999998, 11.833333333333332, 11.501176470588234, 11.447368421052627, 11.515238095238097, 11.601739130434785, 11.3896, 11.362962962962966, 11.331034482758623, 11.447096774193549, 11.495757575757578, 11.44228571428571, 11.48864864864865, 11.453333333333333, 11.484390243902437, 11.482325581395349, 11.594666666666667, 11.573191489361704, 11.497142857142855]"
5,5,"[1.0, 1.979859746107828, 2.4564553334608585, 2.8398788130181725, 3.0924230981720866, 3.42323376427021, 3.8121299467604386, 3.7902158466419875, 3.983945533788703, 4.077771462621365, 4.136587952234785, 4.207697223289242, 4.360034877576128, 4.625284006706905, 4.7220568641399305, 4.658744739321462, 4.614497124669452, 4.778016726774239, 4.747471674155503, 5.003964524036376, 5.0169956713946675, 5.020429929365302, 5.216573640845175, 5.213965669173211, 5.301375243479808]","[8.74, 9.220000000000002, 9.623999999999997, 9.89142857142857, 10.11111111111111, 10.432727272727277, 10.927692307692311, 10.672, 10.794117647058824, 11.016842105263159, 10.859999999999998, 11.046086956521735, 11.276800000000003, 11.423703703703707, 11.923448275862064, 11.614193548387098, 11.506666666666668, 11.672, 11.443243243243243, 11.926153846153843, 12.129268292682925, 11.870697674418606, 12.412000000000003, 12.31234042553191, 12.239591836734695]"
6,6,"[1.0, 1.7195452609825674, 1.9580090306150675, 2.242660022446905, 2.4563105384943205, 2.7307883086016664, 2.6813797927570615, 2.817457810695545, 2.956061240883704, 3.143708297451604, 2.9293949243069513, 3.174788880358251, 3.156074266940298, 3.2277053313846356, 3.309222927995442, 3.193267035323926, 3.4507878495099855, 3.3283335461564834, 3.452202973216884, 3.393802838376243, 3.403224529708461, 3.4621131618038365, 3.42290887933291, 3.4418687363543388, 3.5022177319360135]","[6.0, 6.446666666666667, 6.459999999999999, 6.479999999999999, 7.277777777777779, 7.540000000000001, 7.101538461538462, 7.454666666666665, 7.907058823529412, 7.698947368421056, 7.390476190476192, 7.51391304347826, 7.767199999999999, 7.896296296296298, 7.951724137931036, 7.844516129032258, 8.256363636363636, 7.977142857142854, 8.222162162162158, 7.887179487179488, 8.14439024390244, 8.073953488372094, 8.072444444444445, 7.953617021276593, 8.232244897959188]"
7,7,"[1.0, 2.0659025693836237, 2.7346301536716204, 3.0911887568025334, 3.510814310781429, 3.919635512500341, 4.273216809840334, 4.454937832287005, 4.947099645713772, 5.201012763640957, 5.646681147473768, 5.500089571724179, 5.907312488777979, 6.14092198833689, 6.190544172039761, 6.667624265774151, 6.768271723341926, 6.999090961573075, 7.231673461978081, 7.153648548601117, 7.371404163985992, 7.539836710972159, 7.718421497375335, 8.072947119734078, 8.22964653134901]","[10.64, 11.606666666666667, 12.531999999999998, 12.391428571428571, 13.137777777777776, 14.050909090909093, 14.829230769230767, 14.916000000000004, 16.337647058823524, 16.436842105263157, 18.08952380952381, 16.95826086956522, 18.2896, 18.648888888888894, 18.51103448275862, 19.80322580645161, 20.206666666666663, 20.828571428571433, 21.108648648648646, 20.934358974358975, 21.673170731707316, 22.006511627906974, 22.62622222222222, 23.386808510638303, 23.93224489795918]"
8,8,"[1.0, 1.682094072594073, 2.03333335017236, 2.2094057541677548, 2.627240386563173, 2.6947136014422592, 2.7660435843169724, 3.000040110321866, 2.9294669577439567, 2.9643391654893763, 3.1248612218740073, 3.060101464199244, 3.0947351573801667, 3.084943741902429, 3.239532288079677, 3.2514991544555993, 3.250857796755119, 3.258296838833744, 3.2380128176053797, 3.282947277733078, 3.3592002515217807, 3.4291097067779925, 3.32515429959684, 3.429648444700734, 3.4245160671147437]","[5.96, 5.920000000000003, 6.7120000000000015, 6.4228571428571435, 7.271111111111112, 7.356363636363638, 7.370769230769232, 7.7906666666666675, 7.632941176470589, 7.336842105263156, 7.8809523809523805, 7.6739130434782625, 7.748799999999999, 7.3629629629629605, 7.8517241379310345, 7.895483870967743, 8.060606060606059, 7.756000000000003, 7.794054054054055, 7.893846153846152, 8.003902439024392, 8.069302325581393, 7.845333333333333, 8.146808510638293, 8.039591836734694]"
9,9,"[1.0, 1.647916916416916, 2.0457161319073087, 2.269035742584094, 2.4623639782967977, 2.71699758915929, 2.7782455871682585, 2.92198870731496, 2.94975900581243, 2.9929910793197156, 2.877922646372964, 3.0423351289963114, 3.0786605382074668, 3.1479070979134516, 3.200116019312584, 3.332280067075592, 3.2200830594979304, 3.105106806843922, 3.2666058853371425, 3.3714600766598637, 3.2425791294627175, 3.3314936595597673, 3.311100445343003, 3.4250211300767854, 3.37793648896354]","[5.94, 6.246666666666667, 6.684000000000001, 6.577142857142857, 7.104444444444442, 7.361818181818179, 7.163076923076924, 7.857333333333335, 7.54, 7.422105263157896, 7.280000000000001, 7.86695652173913, 7.604000000000002, 7.785185185185186, 7.85241379310345, 8.322580645161294, 7.820606060606058, 7.465142857142857, 7.882702702702702, 8.105128205128205, 7.750731707317073, 7.913953488372094, 7.9444444444444455, 7.98468085106383, 7.900408163265308]"
