,link_id,x_vector,y_vector
0,0,"[1.0, 1.5200339105339105, 1.8961638886643937, 2.2783400304458654, 2.5532742108252937, 2.6645186850983724, 2.8078936145738504, 3.002058043939205, 3.25191430502268, 3.2637821830775526, 3.2685745063295766, 3.604249069716396, 3.7088241204606422, 3.7225556784201213, 3.6247219605414607, 3.7883319499284833, 3.981190621889739, 3.984313920979551, 4.097625071636387, 4.132001236439356, 4.123471471649123, 4.456703028336285, 4.482451459042093, 4.352463525556696, 4.273250430539076, 4.39733422717699, 4.381289624427434, 4.624678233667182, 4.583290108051918, 4.402282450349238, 4.674062733628624, 4.903113141556763, 4.628437463831245, 4.881518369506278, 4.8050804315157825, 4.8212558697302965, 4.625751657256159, 4.7166901375734644, 4.811996991608981, 4.788939982736885, 4.9576802580641735, 4.943907383047504, 4.905929154621297, 4.95561108590502, 4.952465539084501, 5.117202584714306, 4.9716870160708915, 4.9618408626091455, 5.086137916959957]","[8.8, 9.11, 9.426666666666668, 9.365, 9.844000000000001, 9.933333333333332, 9.640000000000002, 9.94, 10.751111111111108, 10.152000000000001, 10.147272727272727, 10.745, 10.650769230769232, 10.625714285714288, 10.230666666666664, 10.39, 10.944705882352942, 10.64333333333333, 10.868421052631577, 11.036, 10.936190476190477, 11.65454545454546, 11.432173913043478, 10.974999999999998, 11.056, 11.200769230769232, 11.593333333333332, 11.601428571428574, 11.396551724137929, 11.246666666666668, 11.638709677419351, 11.926875, 11.605454545454545, 11.969411764705884, 11.800571428571427, 11.795000000000002, 11.362702702702702, 11.449473684210524, 11.729743589743592, 11.689, 11.810243902439025, 12.02285714285714, 11.740000000000002, 12.006818181818186, 11.928888888888888, 12.02782608695652, 11.90978723404255, 11.661666666666667, 11.8930612244898]"
1,1,"[1.0, 1.665672771672771, 2.1295103673117537, 2.5471562768680145, 2.7723951430978384, 3.0591199552506696, 3.2710601523094716, 3.561587572948201, 3.7148726210372844, 3.8603702260803385, 4.271592293377022, 4.198502567410197, 4.206463019224875, 4.295119446434281, 4.516005935260344, 4.763465114924194, 4.639812313592319, 4.659876759719646, 4.861833157782876, 4.937692439034605, 5.234194409167227, 5.207054751624172, 5.329935012494153, 5.2809304219150786, 5.66333811720445, 5.340993238375405, 5.606138138981598, 5.640641352321835, 5.566175069143843, 5.876024310348916, 5.712185458491027, 5.693466423983272, 5.947432651758013, 6.023136877252746, 5.698291471221263, 5.85438712048946, 5.934680893042367, 5.993920283791502, 6.017500912155358, 6.0813722339858005, 6.383118753624907, 6.1183993208639595, 6.238931520475079, 6.37710821863251, 6.31699106707308, 6.429721876737318, 6.342853872034096, 6.486779854922469, 6.353503928483726]","[11.9, 11.96, 12.386666666666667, 12.455, 12.947999999999997, 12.713333333333331, 12.671428571428569, 13.3575, 13.042222222222215, 13.147999999999998, 14.007272727272728, 13.200000000000003, 13.293846153846157, 13.548571428571428, 13.779999999999998, 14.02125, 13.758823529411762, 13.39111111111111, 14.021052631578948, 13.837, 14.643809523809523, 14.255454545454542, 14.435652173913045, 14.325, 15.008800000000003, 14.294615384615383, 14.81259259259259, 14.872857142857143, 14.542758620689654, 15.000666666666667, 14.558064516129035, 14.688125, 15.36909090909091, 15.22823529411765, 14.278857142857143, 14.76444444444445, 14.721081081081087, 15.048947368421054, 15.064615384615388, 14.910499999999997, 15.746829268292686, 15.036190476190477, 15.112093023255811, 15.519090909090906, 15.395999999999997, 15.526956521739132, 15.442978723404257, 15.398750000000001, 15.26897959183674]"
2,2,"[1.0, 1.607257493796193, 1.929077455632416, 2.188698083872723, 2.414364662705482, 2.6100703263456584, 2.685245562244099, 2.6340888191819998, 2.83509627288537, 2.852859323009345, 2.9741437803431934, 2.9244747293115707, 3.0769706717372, 3.2258316118597214, 2.9956563694402005, 3.093440585919235, 2.9520497578889247, 3.036606794034495, 3.0798491621032094, 3.1983370443379893, 3.181239857630451, 3.1674240045928626, 3.272489811579679, 3.3152711930181114, 3.320513147686967, 3.187898610532433, 3.269587975429423, 3.220398002087959, 3.3666255943745313, 3.300343340151015, 3.3350526848667137, 3.3279200992810796, 3.3669354746850906, 3.293189395929217, 3.3413816148278346, 3.379097863095835, 3.383973973795886, 3.3762440547921613, 3.406076918113351, 3.3518926724929696, 3.4058610063975396, 3.4253610323608172, 3.4030308690088673, 3.4288739299090736, 3.3382847019680257, 3.3845366915149, 3.3811727367354, 3.3532991591545396, 3.4281966190994915]","[11.04, 11.2, 11.333333333333332, 11.225, 11.187999999999997, 11.693333333333328, 11.308571428571426, 11.445, 11.27555555555556, 11.302, 11.585454545454546, 11.326666666666668, 11.649230769230767, 11.854285714285716, 11.429333333333334, 11.345, 11.231764705882352, 11.41, 11.41894736842105, 11.562000000000003, 11.471428571428573, 11.369090909090906, 11.473913043478257, 11.759166666666667, 11.6448, 11.391538461538461, 11.535555555555554, 11.318571428571431, 11.620000000000003, 11.420666666666664, 11.499354838709676, 11.56875, 11.594545454545457, 11.471176470588237, 11.598285714285712, 11.54611111111111, 11.64972972972973, 11.56473684210526, 11.572820512820513, 11.5165, 11.540000000000003, 11.491904761904761, 11.594883720930232, 11.568181818181818, 11.380444444444445, 11.46695652173913, 11.47063829787234, 11.38708333333333, 11.609795918367343]"
3,3,"[1.0, 1.2463888888888888, 1.2989188083158671, 1.3099988783146679, 1.3331034538441324, 1.377899380804954, 1.3764864522003775, 1.3868637635984609, 1.4061812378326712, 1.4098125566643864, 1.4147532545002406, 1.4087633695638613, 1.4453512557424224, 1.4346746460354305, 1.4242028312536126, 1.4309146580160204, 1.4495414135743812, 1.4367952488007663, 1.4336503845915964, 1.4471630245910572, 1.4283982244551845, 1.4500534586235059, 1.4489878927574766, 1.4416144551657695, 1.4342207286347723, 1.4462806642823471, 1.443400365023428, 1.436114967770978, 1.4602979244463803, 1.4356187601683954, 1.4429518914078707, 1.4467850266210414, 1.442016777484029, 1.4509282587800698, 1.4448962103474878, 1.445895628550887, 1.4406467960114395, 1.4579544051671467, 1.4450886568995744, 1.4508846442415453, 1.4612222603421816, 1.4524682258735382, 1.4529685567624115, 1.452924888683233, 1.465602662363355, 1.4552528579638397, 1.45144311452109, 1.4593012071269305, 1.4537465380985954]","[3.92, 4.18, 4.206666666666666, 4.005, 4.172000000000001, 4.153333333333332, 4.137142857142857, 4.3325, 4.257777777777777, 4.223999999999999, 4.2309090909090905, 4.2266666666666675, 4.32, 4.2385714285714275, 4.184000000000001, 4.2375, 4.356470588235296, 4.242222222222222, 4.255789473684212, 4.379, 4.114285714285714, 4.233636363636364, 4.276521739130434, 4.2316666666666665, 4.186399999999999, 4.322307692307694, 4.237037037037037, 4.282142857142857, 4.315172413793103, 4.144666666666665, 4.228387096774194, 4.233125, 4.243030303030304, 4.244117647058824, 4.153142857142856, 4.218333333333333, 4.164324324324323, 4.237368421052633, 4.241538461538461, 4.244499999999999, 4.316585365853658, 4.225238095238095, 4.236279069767442, 4.220454545454545, 4.321333333333332, 4.265217391304349, 4.242978723404255, 4.27125, 4.2628571428571425]"
4,4,"[1.0, 1.591814449997886, 1.9068874481660185, 2.2400166303198636, 2.4135366488805765, 2.550422490997715, 2.6640187414118914, 2.6722201619525454, 2.813681769416683, 2.8619442082284725, 2.8297367465449055, 3.0097962942186753, 3.030641785374501, 3.088470052518111, 3.1221086190903047, 3.0527454255484785, 3.1068922284892464, 3.0974873201154396, 3.1104754308106495, 3.1921719793328185, 3.2136203462528568, 3.1987012130438712, 3.26056055954037, 3.370009175558875, 3.2465921866865672, 3.332174579968517, 3.217059248495768, 3.346668000031821, 3.2139878751701447, 3.33548811400589, 3.3368601112250023, 3.3838205719578998, 3.224446670598847, 3.307777134696895, 3.395034080791277, 3.3529499123375723, 3.3224138481578267, 3.329765203614362, 3.365501760670387, 3.425375840380278, 3.3530772393087283, 3.337027072703104, 3.4105893503983298, 3.426773595148658, 3.4031609454280725, 3.390826770009817, 3.351504043240531, 3.4605007242731056, 3.359472130798665]","[11.2, 11.19, 11.08, 11.16, 11.328, 11.32333333333333, 11.265714285714285, 11.38, 11.273333333333337, 11.453999999999999, 11.278181818181817, 11.494999999999997, 11.479999999999997, 11.379999999999997, 11.47866666666667, 11.40625, 11.448235294117644, 11.363333333333337, 11.416842105263159, 11.438999999999997, 11.385714285714291, 11.391818181818177, 11.466956521739132, 11.66666666666667, 11.5128, 11.596923076923074, 11.425925925925924, 11.647857142857141, 11.341379310344827, 11.623333333333333, 11.583870967741943, 11.673125, 11.31939393939394, 11.535882352941178, 11.572000000000003, 11.591111111111111, 11.469729729729728, 11.533684210526317, 11.469743589743588, 11.545500000000002, 11.570243902439026, 11.449999999999998, 11.483720930232558, 11.69090909090909, 11.499555555555558, 11.491304347826082, 11.54893617021277, 11.738749999999996, 11.516734693877552]"
5,6,"[1.0, 1.3839512987012987, 1.6660744342803164, 1.9429786961404605, 2.0668654368507315, 2.2880413877889114, 2.339724158394962, 2.4046580954864085, 2.4470867361508333, 2.557895848936332, 2.6696279129304124, 2.734615972818668, 2.7598759921377494, 2.9000825396917405, 2.8674501095109877, 2.935058952646078, 2.910657011361689, 3.0163740751737196, 2.9702662825539643, 2.9976508454618727, 3.136026223232705, 3.1171771109873028, 3.053360199054284, 3.068816270085405, 3.1540090352584866, 3.0815125327967894, 3.3142407486766525, 3.2043505405612644, 3.129528074930067, 3.3039441319089167, 3.3638259485138713, 3.1704415493937477, 3.266626059187091, 3.2712989537059176, 3.5094886618927545, 3.379089955630173, 3.378750039881753, 3.325167301017122, 3.314335290613605, 3.455545691606412, 3.489651032757644, 3.3978755816787842, 3.438492008573681, 3.443592507195748, 3.516251385569782, 3.3539930468272674, 3.3865401503052466, 3.467013146271514, 3.614656464372372]","[5.72, 6.19, 6.280000000000001, 6.65, 6.488, 6.893333333333334, 7.137142857142855, 6.895, 7.013333333333336, 7.225999999999999, 7.323636363636362, 7.388333333333334, 7.5076923076923086, 7.57, 7.156000000000002, 7.49875, 7.431764705882353, 7.64888888888889, 7.438947368421052, 7.419000000000002, 7.7733333333333325, 7.752727272727273, 7.703478260869564, 7.579166666666665, 7.9552, 7.666153846153846, 8.200740740740741, 7.792142857142859, 7.663448275862069, 7.896666666666667, 7.8832258064516125, 7.56375, 7.615757575757575, 8.177647058823531, 8.300571428571429, 8.1, 7.875135135135135, 7.785789473684211, 7.935897435897438, 7.983000000000001, 8.325853658536586, 7.901904761904761, 8.110697674418603, 8.113181818181816, 8.240888888888888, 7.819565217391303, 7.9361702127659575, 8.147916666666669, 8.391836734693879]"
6,7,"[1.0, 1.6872060096765973, 2.0238531991744066, 2.403429924885841, 2.7249938536220553, 2.919025168761786, 3.0918360275752086, 3.3083881267739583, 3.552479896536602, 3.7235815783926345, 3.8888896401286335, 3.9832115749701886, 4.411703745511881, 4.389254511047088, 4.320673585658639, 4.672157583534965, 4.6834320464971695, 5.004309021129672, 5.1541237579151895, 5.094777327691373, 5.562848787052631, 5.629109107274977, 5.590347300462262, 6.042963500589251, 5.699218475292122, 5.898097585717943, 6.040609509687608, 6.23741116595282, 6.25592477619318, 6.156958072047952, 6.436986640365833, 6.57943877550552, 6.791768880120519, 7.219391080191887, 7.002287434269991, 7.232275074362323, 7.5758669927411235, 7.100372941884318, 7.397932420218321, 7.294218141346843, 7.515093101095509, 7.683580781076675, 7.453421274056892, 7.939504677163808, 7.800798331871443, 7.745247498148506, 7.818844365991522, 8.059083885835445, 8.13195463465043]","[10.72, 10.89, 11.34, 11.745, 12.348000000000004, 12.246666666666671, 12.594285714285716, 12.8725, 13.44222222222223, 13.703999999999997, 13.798181818181815, 14.016666666666662, 15.118461538461542, 15.26, 14.677333333333335, 15.4675, 15.255294117647061, 16.075555555555557, 16.65684210526316, 15.925000000000002, 17.124761904761908, 17.658181818181816, 17.40869565217392, 18.76833333333333, 17.220799999999997, 18.071538461538463, 18.194814814814812, 19.016428571428577, 18.83655172413793, 18.23733333333333, 19.299354838709682, 19.831875, 20.53151515151515, 21.81352941176471, 20.74857142857143, 21.37, 22.469729729729735, 21.185789473684213, 21.47025641025641, 21.165499999999998, 21.844878048780487, 22.557619047619045, 21.696744186046512, 23.170909090909095, 22.572444444444454, 22.413913043478257, 22.619574468085105, 23.337083333333336, 23.400000000000006]"
7,8,"[1.0, 1.475273830744419, 1.692784232107761, 1.8510559992123463, 2.1873185310710883, 2.2379400719836244, 2.262217738240083, 2.4148237754987547, 2.4940053695529416, 2.4715461015853393, 2.7232714806840908, 2.7021343907054063, 2.8624395517699512, 2.825568892241301, 2.954766869884361, 2.8722883853351027, 2.8736183118569856, 2.915607390627575, 3.0893090883745433, 3.009497827021469, 3.0597424860713986, 3.007120381218152, 3.1905246394594453, 3.0761199179661194, 3.127407041225538, 3.1656283191904206, 3.2219031581182502, 3.117486672619072, 3.1627083008931414, 3.094505656069286, 3.2737624077096728, 3.2270413057687066, 3.248298409818272, 3.2317287376258914, 3.1694525251677828, 3.3610477895762334, 3.3275672074907483, 3.2819236865297996, 3.359082825532823, 3.2341606225463044, 3.2829537543057357, 3.3412420688308075, 3.46325286508998, 3.270310294936758, 3.3516277606840874, 3.360285569031622, 3.3276765470315564, 3.3472306374744436, 3.3491887655313213]","[6.02, 6.55, 6.3133333333333335, 6.465, 6.968, 7.113333333333332, 6.665714285714286, 7.01, 7.104444444444445, 6.990000000000001, 7.272727272727273, 7.45, 7.58769230769231, 7.145714285714288, 7.741333333333331, 7.34875, 7.445882352941177, 7.323333333333332, 7.903157894736843, 7.786999999999999, 7.801904761904764, 7.7481818181818225, 7.768695652173912, 7.571666666666667, 7.751199999999998, 7.886153846153845, 7.874814814814816, 7.695714285714287, 7.567586206896549, 7.55866666666667, 7.890967741935483, 7.749375, 7.87151515151515, 7.905882352941173, 7.733714285714285, 8.043333333333333, 7.934054054054056, 7.955263157894735, 7.874871794871793, 7.743000000000002, 7.686341463414634, 8.000476190476194, 8.36790697674418, 7.836818181818183, 8.085777777777778, 7.985652173913046, 7.905957446808512, 7.774166666666666, 7.962040816326533]"
8,9,"[1.0, 1.4615572760572761, 1.7180060456399462, 1.9321295060288868, 2.040449194446839, 2.1295155666168184, 2.263215935315762, 2.453480458882844, 2.4363469646638096, 2.4494279585680347, 2.648583061570024, 2.6244772619635746, 2.775696536166921, 2.8121882318187903, 2.9144973750538945, 2.86909733001616, 2.7970806332655918, 2.9584741581068403, 2.919010424257505, 2.979870496871481, 2.856871850230529, 3.1359254378613883, 3.026368618134944, 2.972455115128829, 3.0424087136356177, 3.1698792369022817, 3.1447844501902633, 3.1109211508543293, 3.321352563721314, 3.159692576575553, 3.189589197077079, 3.2677436701193416, 3.254397998148331, 3.3358478970627026, 3.2522383624687463, 3.373093093785846, 3.3581206254844576, 3.276519159773938, 3.248180190777343, 3.28695944838724, 3.2693715931353124, 3.3761850278533996, 3.3033672249873867, 3.298418708353956, 3.359805745174875, 3.305790810820966, 3.390059621566237, 3.283286659857968, 3.4085985209296634]","[5.54, 6.29, 6.426666666666668, 6.215, 6.472, 6.816666666666664, 6.791428571428571, 7.25, 6.964444444444444, 6.977999999999998, 7.190909090909089, 7.08166666666667, 7.424615384615382, 7.377142857142858, 7.561333333333335, 7.37375, 7.271764705882354, 7.616666666666669, 7.245263157894738, 7.681, 7.250476190476191, 7.8590909090909085, 7.496521739130437, 7.453333333333332, 7.5047999999999995, 7.8076923076923075, 7.8711111111111105, 7.603571428571428, 7.980000000000001, 7.842666666666668, 7.638709677419354, 7.895625, 7.912727272727275, 7.975294117647057, 7.894857142857144, 8.044999999999998, 8.049189189189189, 7.883684210526315, 7.839487179487176, 7.812500000000003, 7.690243902439023, 8.153333333333334, 7.809767441860466, 7.759545454545454, 8.00977777777778, 7.839565217391305, 8.044680851063827, 7.82125, 8.046122448979592]"
9,10,"[1.0, 1.4187142857142856, 1.5836804954591326, 1.9239185028377042, 1.9623504233274391, 2.212135486789276, 2.2393488521618305, 2.4377511600150985, 2.55264656730333, 2.6458991206705975, 2.8147429399880735, 2.6807060272994203, 2.646776336445311, 2.705257126473151, 2.836531707267233, 2.818996027676797, 3.034031364993617, 2.903424967517637, 2.9067466435282365, 2.915884795426644, 3.049384421503744, 3.132959583690515, 3.180816353288077, 3.156999376118298, 3.037618872318306, 3.076219876829071, 3.20664282393453, 3.21386410030581, 3.320333965597678, 3.3866951956942843, 3.2384672739028417, 3.2129623096124966, 3.187335029701337, 3.3066562041822904, 3.432515486447262, 3.2891547687385114, 3.2355657123698536, 3.340604031373752, 3.2921026755443665, 3.362418386241427, 3.421757043534096, 3.3388095901234967, 3.4922861603371382, 3.42679586248746, 3.4524290780761944, 3.430310789717167, 3.4751566023255394, 3.494128398942919, 3.4306226327558216]","[6.36, 6.08, 5.959999999999997, 6.865, 6.527999999999999, 6.766666666666667, 7.040000000000003, 6.8325, 7.360000000000001, 7.343999999999999, 7.796363636363638, 7.294999999999999, 7.143076923076922, 7.197142857142857, 7.374666666666666, 7.21875, 7.858823529411766, 7.502222222222223, 7.252631578947364, 7.243999999999999, 7.686666666666665, 7.837272727272725, 7.835652173913043, 7.634999999999996, 7.4159999999999995, 7.505384615384615, 7.802962962962964, 7.763571428571427, 8.017241379310343, 8.293999999999997, 7.940645161290321, 7.600625, 7.7236363636363645, 8.127647058823527, 8.149142857142856, 7.861666666666666, 7.724324324324324, 7.941578947368422, 7.778974358974358, 7.825999999999998, 7.9282926829268305, 7.871428571428572, 8.203255813953492, 8.099545454545455, 8.103555555555555, 7.954782608695655, 8.080851063829785, 8.225416666666666, 7.800816326530614]"
